,tweet,label,casefolding,cleaning,tokenization,tokens_freqdist,stopword_removal,converting,stemming
70,"Gotong Royong Sukseskan Program Vaksinasi Massal Pemerintah Sektor pariwisata Bali bersama Pemda kolaborasi sukseskan program vaksinasi massal secara gratis pada masyarakat, khususnya pelaku usaha pariwisata. Saya Siaaap Divaksin agar Indonesia Bebas Covid-19 #VaksinasiNasional",1,"gotong royong sukseskan program vaksinasi massal pemerintah sektor pariwisata bali bersama pemda kolaborasi sukseskan program vaksinasi massal secara gratis pada masyarakat, khususnya pelaku usaha pariwisata. saya siaaap divaksin agar indonesia bebas covid-19 #vaksinasinasional",gotong royong sukseskan program vaksinasi massal pemerintah sektor pariwisata bali bersama pemda kolaborasi sukseskan program vaksinasi massal secara gratis pada masyarakat khususnya pelaku usaha pariwisata saya siaaap divaksin agar indonesia bebas covid vaksinasinasional,"['gotong', 'royong', 'sukseskan', 'program', 'vaksinasi', 'massal', 'pemerintah', 'sektor', 'pariwisata', 'bali', 'bersama', 'pemda', 'kolaborasi', 'sukseskan', 'program', 'vaksinasi', 'massal', 'secara', 'gratis', 'pada', 'masyarakat', 'khususnya', 'pelaku', 'usaha', 'pariwisata', 'saya', 'siaaap', 'divaksin', 'agar', 'indonesia', 'bebas', 'covid', 'vaksinasinasional']",<FreqDist with 28 samples and 33 outcomes>,"['gotong', 'royong', 'sukseskan', 'program', 'vaksinasi', 'massal', 'pemerintah', 'sektor', 'pariwisata', 'bali', 'pemda', 'kolaborasi', 'sukseskan', 'program', 'vaksinasi', 'massal', 'gratis', 'masyarakat', 'pelaku', 'usaha', 'pariwisata', 'siaaap', 'divaksin', 'indonesia', 'bebas', 'covid', 'vaksinasinasional']","['gotong', 'royong', 'sukseskan', 'program', 'vaksinasi', 'massal', 'pemerintah', 'sektor', 'pariwisata', 'bali', 'pemda', 'kolaborasi', 'sukseskan', 'program', 'vaksinasi', 'massal', 'gratis', 'masyarakat', 'pelaku', 'usaha', 'pariwisata', 'siap', 'divaksin', 'indonesia', 'bebas', 'covid', 'vaksinasinasional']","['gotong', 'royong', 'sukses', 'program', 'vaksinasi', 'massal', 'perintah', 'sektor', 'pariwisata', 'bal', 'pemda', 'kolaborasi', 'sukses', 'program', 'vaksinasi', 'massal', 'gratis', 'masyarakat', 'laku', 'usaha', 'pariwisata', 'siap', 'vaksin', 'indonesia', 'bebas', 'covid', 'vaksinasinasional']"
71,"kita tidak pernah tahu dimana saja lokasi covid, oleh karenanya mari kita dukung dan ikut program vaksinasi untuk Indonesia yang lebih sehat! #VaksinasiNasional #TetapDirumahAja #Vaksinasi #mutasibaru #Waspada Jangan Mudik",1,"kita tidak pernah tahu dimana saja lokasi covid, oleh karenanya mari kita dukung dan ikut program vaksinasi untuk indonesia yang lebih sehat! #vaksinasinasional #tetapdirumahaja #vaksinasi #mutasibaru #waspada jangan mudik",kita tidak pernah tahu dimana saja lokasi covid oleh karenanya mari kita dukung dan ikut program vaksinasi untuk indonesia yang lebih sehat vaksinasinasional tetapdirumahaja vaksinasi mutasibaru waspada jangan mudik,"['kita', 'tidak', 'pernah', 'tahu', 'dimana', 'saja', 'lokasi', 'covid', 'oleh', 'karenanya', 'mari', 'kita', 'dukung', 'dan', 'ikut', 'program', 'vaksinasi', 'untuk', 'indonesia', 'yang', 'lebih', 'sehat', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'jangan', 'mudik']",<FreqDist with 27 samples and 29 outcomes>,"['dimana', 'lokasi', 'covid', 'mari', 'dukung', 'program', 'vaksinasi', 'indonesia', 'sehat', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']","['dimana', 'lokasi', 'covid', 'mari', 'dukung', 'program', 'vaksinasi', 'indonesia', 'sehat', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']","['mana', 'lokasi', 'covid', 'mari', 'dukung', 'program', 'vaksinasi', 'indonesia', 'sehat', 'vaksinasinasional', 'tetapdirumahaja', 'vaksinasi', 'mutasibaru', 'waspada', 'mudik']"
72,Siapa yang kemaren koar koar kalo di India Covid melonjak Ni baca Presidennya Lewat Kominfo Mengumumkan Kalo Kalo Itu Semua Hoax #COVID19 #Covid #Vaksin #vaksincovid #VaksinasiCovid19 #VaksinasiNasional,0,siapa yang kemaren koar koar kalo di india covid melonjak ni baca presidennya lewat kominfo mengumumkan kalo kalo itu semua hoax #covid19 #covid #vaksin #vaksincovid #vaksinasicovid19 #vaksinasinasional,siapa yang kemaren koar koar kalo di india covid melonjak ni baca presidennya lewat kominfo mengumumkan kalo kalo itu semua hoax covid covid vaksin vaksincovid vaksinasicovid vaksinasinasional,"['siapa', 'yang', 'kemaren', 'koar', 'koar', 'kalo', 'di', 'india', 'covid', 'melonjak', 'ni', 'baca', 'presidennya', 'lewat', 'kominfo', 'mengumumkan', 'kalo', 'kalo', 'itu', 'semua', 'hoax', 'covid', 'covid', 'vaksin', 'vaksincovid', 'vaksinasicovid', 'vaksinasinasional']",<FreqDist with 22 samples and 27 outcomes>,"['kemaren', 'koar', 'koar', 'india', 'covid', 'melonjak', 'ni', 'baca', 'presidennya', 'kominfo', 'mengumumkan', 'hoax', 'covid', 'covid', 'vaksin', 'vaksincovid', 'vaksinasicovid', 'vaksinasinasional']","['kemaren', 'teriak', 'teriak', 'india', 'covid', 'melonjak', 'ini', 'baca', 'presidennya', 'kominfo', 'mengumumkan', 'hoaks', 'covid', 'covid', 'vaksin', 'vaksincovid', 'vaksinasicovid', 'vaksinasinasional']","['kemaren', 'teriak', 'teriak', 'india', 'covid', 'lonjak', 'ini', 'baca', 'presiden', 'kominfo', 'umum', 'hoaks', 'covid', 'covid', 'vaksin', 'vaksincovid', 'vaksinasicovid', 'vaksinasinasional']"
73,"""MUI Keluarkan Fatwa bahwa Vaksinasi Tak Batalkan Puasa"" Wakil Presiden KH. Ma'ruf Amin memastikan kembali vaksinasi Covid-19 yang dilaksanakan bulan Ramadhan tidak akan membatalkan puasa. Saya Siaaap Divaksin! Indonesia Bebas Covid-19.. Aamiin #VaksinasiNasional",1,"""mui keluarkan fatwa bahwa vaksinasi tak batalkan puasa"" wakil presiden kh. ma'ruf amin memastikan kembali vaksinasi covid-19 yang dilaksanakan bulan ramadhan tidak akan membatalkan puasa. saya siaaap divaksin! indonesia bebas covid-19.. aamiin #vaksinasinasional",mui keluarkan fatwa bahwa vaksinasi tak batalkan puasa wakil presiden kh maruf amin memastikan kembali vaksinasi covid yang dilaksanakan bulan ramadhan tidak akan membatalkan puasa saya siaaap divaksin indonesia bebas covid aamiin vaksinasinasional,"['mui', 'keluarkan', 'fatwa', 'bahwa', 'vaksinasi', 'tak', 'batalkan', 'puasa', 'wakil', 'presiden', 'kh', 'maruf', 'amin', 'memastikan', 'kembali', 'vaksinasi', 'covid', 'yang', 'dilaksanakan', 'bulan', 'ramadhan', 'tidak', 'akan', 'membatalkan', 'puasa', 'saya', 'siaaap', 'divaksin', 'indonesia', 'bebas', 'covid', 'aamiin', 'vaksinasinasional']",<FreqDist with 30 samples and 33 outcomes>,"['mui', 'keluarkan', 'fatwa', 'vaksinasi', 'batalkan', 'puasa', 'wakil', 'presiden', 'kh', 'maruf', 'amin', 'vaksinasi', 'covid', 'dilaksanakan', 'ramadhan', 'membatalkan', 'puasa', 'siaaap', 'divaksin', 'indonesia', 'bebas', 'covid', 'aamiin', 'vaksinasinasional']","['mui', 'keluarkan', 'fatwa', 'vaksinasi', 'batalkan', 'puasa', 'wakil', 'presiden', 'kh', 'maruf', 'amin', 'vaksinasi', 'covid', 'dilaksanakan', 'ramadhan', 'membatalkan', 'puasa', 'siap', 'divaksin', 'indonesia', 'bebas', 'covid', 'aamiin', 'vaksinasinasional']","['mui', 'keluar', 'fatwa', 'vaksinasi', 'batal', 'puasa', 'wakil', 'presiden', 'kh', 'maruf', 'amin', 'vaksinasi', 'covid', 'laksana', 'ramadhan', 'batal', 'puasa', 'siap', 'vaksin', 'indonesia', 'bebas', 'covid', 'aamiin', 'vaksinasinasional']"
74,#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @OposisiCerdas: Wakil Ketua Komisi IX: BPOM Telah Bohongi Publik,0,#ritam98 🇮🇩 tentang #vaksinasi #vaksin #covid19 #vaksinasinasional di #indonesia  rt @oposisicerdas: wakil ketua komisi ix: bpom telah bohongi publik,ritam  tentang vaksinasi vaksin covid vaksinasinasional di indonesia rt  wakil ketua komisi ix bpom telah bohongi publik,"['ritam', 'tentang', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'di', 'indonesia', 'rt', 'wakil', 'ketua', 'komisi', 'ix', 'bpom', 'telah', 'bohongi', 'publik']",<FreqDist with 17 samples and 17 outcomes>,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'wakil', 'ketua', 'komisi', 'ix', 'bpom', 'bohongi', 'publik']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'wakil', 'ketua', 'komisi', 'ix', 'bpom', 'bohongi', 'publik']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'wakil', 'ketua', 'komisi', 'ix', 'bpom', 'bohong', 'publik']"
75,Pelaksanaan vaksinasi perlu dipercepat guna memutus mata rantai penularan covid 19 #VaksinasiNasional,1,pelaksanaan vaksinasi perlu dipercepat guna memutus mata rantai penularan covid 19 #vaksinasinasional,pelaksanaan vaksinasi perlu dipercepat guna memutus mata rantai penularan covid  vaksinasinasional,"['pelaksanaan', 'vaksinasi', 'perlu', 'dipercepat', 'guna', 'memutus', 'mata', 'rantai', 'penularan', 'covid', 'vaksinasinasional']",<FreqDist with 11 samples and 11 outcomes>,"['pelaksanaan', 'vaksinasi', 'dipercepat', 'memutus', 'rantai', 'penularan', 'covid', 'vaksinasinasional']","['pelaksanaan', 'vaksinasi', 'dipercepat', 'memutus', 'rantai', 'penularan', 'covid', 'vaksinasinasional']","['laksana', 'vaksinasi', 'cepat', 'putus', 'rantai', 'tular', 'covid', 'vaksinasinasional']"
76,"LPBI NU Nganjuk berpartisipasi pada kegiatan vaksinasi warga NU Nganjuk di Kantor PCNU Kabupaten Nganjuk, 18/03/2021. #NUPeduliCOVID19 #TetapWaspadaCorona #PakaiMasker #VaksinasiNasional",1,"lpbi nu nganjuk berpartisipasi pada kegiatan vaksinasi warga nu nganjuk di kantor pcnu kabupaten nganjuk, 18/03/2021. #nupedulicovid19 #tetapwaspadacorona #pakaimasker #vaksinasinasional",lpbi nu nganjuk berpartisipasi pada kegiatan vaksinasi warga nu nganjuk di kantor pcnu kabupaten nganjuk  nupedulicovid tetapwaspadacorona pakaimasker vaksinasinasional,"['lpbi', 'nu', 'nganjuk', 'berpartisipasi', 'pada', 'kegiatan', 'vaksinasi', 'warga', 'nu', 'nganjuk', 'di', 'kantor', 'pcnu', 'kabupaten', 'nganjuk', 'nupedulicovid', 'tetapwaspadacorona', 'pakaimasker', 'vaksinasinasional']",<FreqDist with 16 samples and 19 outcomes>,"['lpbi', 'nu', 'nganjuk', 'berpartisipasi', 'kegiatan', 'vaksinasi', 'warga', 'nu', 'nganjuk', 'kantor', 'pcnu', 'kabupaten', 'nganjuk', 'nupedulicovid', 'tetapwaspadacorona', 'pakaimasker', 'vaksinasinasional']","['lpbi', 'nu', 'nganjuk', 'berpartisipasi', 'kegiatan', 'vaksinasi', 'warga', 'nu', 'nganjuk', 'kantor', 'pcnu', 'kabupaten', 'nganjuk', 'nupedulicovid', 'tetapwaspadacorona', 'pakaimasker', 'vaksinasinasional']","['lpbi', 'nu', 'nganjuk', 'partisipasi', 'giat', 'vaksinasi', 'warga', 'nu', 'nganjuk', 'kantor', 'pcnu', 'kabupaten', 'nganjuk', 'nupedulicovid', 'tetapwaspadacorona', 'pakaimasker', 'vaksinasinasional']"
77,Kemenkes Pastikan Vaksinasi Covid-19 Tetap Dilaksanakan Saat Ramadhan  via @holopiscom @KemenkesRI #VaksinasiNasional #vaksinuntukpulihkanri #holopiscom,1,kemenkes pastikan vaksinasi covid-19 tetap dilaksanakan saat ramadhan  via @holopiscom @kemenkesri #vaksinasinasional #vaksinuntukpulihkanri #holopiscom,kemenkes pastikan vaksinasi covid tetap dilaksanakan saat ramadhan via vaksinasinasional vaksinuntukpulihkanri holopiscom,"['kemenkes', 'pastikan', 'vaksinasi', 'covid', 'tetap', 'dilaksanakan', 'saat', 'ramadhan', 'via', 'vaksinasinasional', 'vaksinuntukpulihkanri', 'holopiscom']",<FreqDist with 12 samples and 12 outcomes>,"['kemenkes', 'pastikan', 'vaksinasi', 'covid', 'dilaksanakan', 'ramadhan', 'vaksinasinasional', 'vaksinuntukpulihkanri', 'holopiscom']","['kemenkes', 'pastikan', 'vaksinasi', 'covid', 'dilaksanakan', 'ramadhan', 'vaksinasinasional', 'vaksinuntukpulihkanri', 'holopiscom']","['kemenkes', 'pasti', 'vaksinasi', 'covid', 'laksana', 'ramadhan', 'vaksinasinasional', 'vaksinuntukpulihkanri', 'holopiscom']"
78,"Selama Ramadan, Vaksinasi Jalan Terus  #Ramadan #VaksinasiNasional #Sinovac #mojokerto",1,"selama ramadan, vaksinasi jalan terus  #ramadan #vaksinasinasional #sinovac #mojokerto",selama ramadan vaksinasi jalan terus ramadan vaksinasinasional sinovac mojokerto,"['selama', 'ramadan', 'vaksinasi', 'jalan', 'terus', 'ramadan', 'vaksinasinasional', 'sinovac', 'mojokerto']",<FreqDist with 8 samples and 9 outcomes>,"['ramadan', 'vaksinasi', 'jalan', 'ramadan', 'vaksinasinasional', 'sinovac', 'mojokerto']","['ramadhan', 'vaksinasi', 'jalan', 'ramadhan', 'vaksinasinasional', 'sinovac', 'mojokerto']","['ramadhan', 'vaksinasi', 'jalan', 'ramadhan', 'vaksinasinasional', 'sinovac', 'mojokerto']"
79,"#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @RadioElshinta: Sebanyak 6juta lebih vaksin Sinovac dari 3 Container RAP (besar) & 1 Container RKN (kecil) asal Cina yg Tiba di Bandara Soekarno-Hatta, Tangerang, Banten, telah bersiap diberangkatkan menuju ke Bandung dalam Pengawalan Petugas Gabungan TNI Polri, Minggu (18/4) Siang. (Mum)",0,"#ritam98 🇮🇩 tentang #vaksinasi #vaksin #covid19 #vaksinasinasional di #indonesia  rt @radioelshinta: sebanyak 6juta lebih vaksin sinovac dari 3 container rap (besar) & 1 container rkn (kecil) asal cina yg tiba di bandara soekarno-hatta, tangerang, banten, telah bersiap diberangkatkan menuju ke bandung dalam pengawalan petugas gabungan tni polri, minggu (18/4) siang. (mum)",ritam  tentang vaksinasi vaksin covid vaksinasinasional di indonesia rt  sebanyak juta lebih vaksin sinovac dari  container rap besar   container rkn kecil asal cina yg tiba di bandara soekarnohatta tangerang banten telah bersiap diberangkatkan menuju ke bandung dalam pengawalan petugas gabungan tni polri minggu  siang mum,"['ritam', 'tentang', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'di', 'indonesia', 'rt', 'sebanyak', 'juta', 'lebih', 'vaksin', 'sinovac', 'dari', 'container', 'rap', 'besar', 'container', 'rkn', 'kecil', 'asal', 'cina', 'yg', 'tiba', 'di', 'bandara', 'soekarnohatta', 'tangerang', 'banten', 'telah', 'bersiap', 'diberangkatkan', 'menuju', 'ke', 'bandung', 'dalam', 'pengawalan', 'petugas', 'gabungan', 'tni', 'polri', 'minggu', 'siang', 'mum']",<FreqDist with 42 samples and 45 outcomes>,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'juta', 'vaksin', 'sinovac', 'container', 'rap', 'container', 'rkn', 'cina', 'bandara', 'soekarnohatta', 'tangerang', 'banten', 'diberangkatkan', 'bandung', 'pengawalan', 'petugas', 'gabungan', 'tni', 'polri', 'minggu', 'siang', 'mum']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'juta', 'vaksin', 'sinovac', 'container', 'rap', 'container', 'rkn', 'cina', 'bandara', 'soekarnohatta', 'tangerang', 'banten', 'diberangkatkan', 'bandung', 'pengawalan', 'petugas', 'gabungan', 'tni', 'polri', 'minggu', 'siang', 'mum']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'juta', 'vaksin', 'sinovac', 'container', 'rap', 'container', 'rkn', 'cina', 'bandara', 'soekarnohatta', 'tangerang', 'banten', 'berangkat', 'bandung', 'awal', 'tugas', 'gabung', 'tni', 'polri', 'minggu', 'siang', 'mum']"
80,"#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @ariefnoviandi_: Penelitian vaksin wajib menggunakan prosedur dan kaidah2 ilmiah, bukan klaim tanpa dasar ilmiah. Stop politisasi vaksin nusantara #DukungBPOM",0,"#ritam98 🇮🇩 tentang #vaksinasi #vaksin #covid19 #vaksinasinasional di #indonesia  rt @ariefnoviandi_: penelitian vaksin wajib menggunakan prosedur dan kaidah2 ilmiah, bukan klaim tanpa dasar ilmiah. stop politisasi vaksin nusantara #dukungbpom",ritam  tentang vaksinasi vaksin covid vaksinasinasional di indonesia rt  penelitian vaksin wajib menggunakan prosedur dan kaidah ilmiah bukan klaim tanpa dasar ilmiah stop politisasi vaksin nusantara dukungbpom,"['ritam', 'tentang', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'di', 'indonesia', 'rt', 'penelitian', 'vaksin', 'wajib', 'menggunakan', 'prosedur', 'dan', 'kaidah', 'ilmiah', 'bukan', 'klaim', 'tanpa', 'dasar', 'ilmiah', 'stop', 'politisasi', 'vaksin', 'nusantara', 'dukungbpom']",<FreqDist with 24 samples and 27 outcomes>,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'penelitian', 'vaksin', 'wajib', 'prosedur', 'kaidah', 'ilmiah', 'klaim', 'dasar', 'ilmiah', 'stop', 'politisasi', 'vaksin', 'nusantara', 'dukungbpom']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'penelitian', 'vaksin', 'wajib', 'prosedur', 'kaidah', 'ilmiah', 'klaim', 'dasar', 'ilmiah', 'stop', 'politisasi', 'vaksin', 'nusantara', 'dukungbpom']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia', 'teliti', 'vaksin', 'wajib', 'prosedur', 'kaidah', 'ilmiah', 'klaim', 'dasar', 'ilmiah', 'stop', 'politisasi', 'vaksin', 'nusantara', 'dukungbpom']"
81,Top News Koran Rakyat Merdeka Vaksinasi Covid Sejuta Sehari Masih Mimpi @jokowi #vaksin #Vaksinasi #VaksinasiNasional #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #Nasional #RakyatMerdeka #RMid,0,top news koran rakyat merdeka vaksinasi covid sejuta sehari masih mimpi @jokowi #vaksin #vaksinasi #vaksinasinasional #corona #coronavirus #covid19 #covidー19 #covid__19 #covid_19 #covid #nasional #rakyatmerdeka #rmid,top news koran rakyat merdeka vaksinasi covid sejuta sehari masih mimpi vaksin vaksinasi vaksinasinasional corona coronavirus covid covid covid covid covid nasional rakyatmerdeka rmid,"['top', 'news', 'koran', 'rakyat', 'merdeka', 'vaksinasi', 'covid', 'sejuta', 'sehari', 'masih', 'mimpi', 'vaksin', 'vaksinasi', 'vaksinasinasional', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'covid', 'covid', 'nasional', 'rakyatmerdeka', 'rmid']",<FreqDist with 18 samples and 24 outcomes>,"['koran', 'rakyat', 'merdeka', 'vaksinasi', 'covid', 'sejuta', 'sehari', 'mimpi', 'vaksin', 'vaksinasi', 'vaksinasinasional', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'covid', 'covid', 'nasional', 'rakyatmerdeka', 'rmid']","['koran', 'rakyat', 'merdeka', 'vaksinasi', 'covid', 'sejuta', 'sehari', 'mimpi', 'vaksin', 'vaksinasi', 'vaksinasinasional', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'covid', 'covid', 'nasional', 'rakyatmerdeka', 'rmid']","['koran', 'rakyat', 'merdeka', 'vaksinasi', 'covid', 'juta', 'hari', 'mimpi', 'vaksin', 'vaksinasi', 'vaksinasinasional', 'corona', 'coronavirus', 'covid', 'covid', 'covid', 'covid', 'covid', 'nasional', 'rakyatmerdeka', 'rmid']"
82,#VaksinasiNasional harus dipercepat dan diperluas bila Pak Nadiem ingin sekolah tatap muka mulai Juli 2021 @Kemdikbud_RI Pak @erickthohir Pak @jokowi @kurawa @KemenkesRI #VaksinasiCovid19 RT @collegemenfess: kalian tim pak fadli zon atau tim pak nadiem nih? [cm],0,#vaksinasinasional harus dipercepat dan diperluas bila pak nadiem ingin sekolah tatap muka mulai juli 2021 @kemdikbud_ri pak @erickthohir pak @jokowi @kurawa @kemenkesri #vaksinasicovid19 rt @collegemenfess: kalian tim pak fadli zon atau tim pak nadiem nih? [cm],vaksinasinasional harus dipercepat dan diperluas bila pak nadiem ingin sekolah tatap muka mulai juli  ri pak pak vaksinasicovid rt  kalian tim pak fadli zon atau tim pak nadiem nih cm,"['vaksinasinasional', 'harus', 'dipercepat', 'dan', 'diperluas', 'bila', 'pak', 'nadiem', 'ingin', 'sekolah', 'tatap', 'muka', 'mulai', 'juli', 'ri', 'pak', 'pak', 'vaksinasicovid', 'rt', 'kalian', 'tim', 'pak', 'fadli', 'zon', 'atau', 'tim', 'pak', 'nadiem', 'nih', 'cm']",<FreqDist with 24 samples and 30 outcomes>,"['vaksinasinasional', 'dipercepat', 'diperluas', 'nadiem', 'sekolah', 'tatap', 'muka', 'juli', 'ri', 'vaksinasicovid', 'tim', 'fadli', 'zon', 'tim', 'nadiem', 'cm']","['vaksinasinasional', 'dipercepat', 'diperluas', 'nadiem', 'sekolah', 'tatap', 'muka', 'juli', 'indonesia', 'vaksinasicovid', 'tim', 'fadli', 'zon', 'tim', 'nadiem', 'cm']","['vaksinasinasional', 'cepat', 'luas', 'nadiem', 'sekolah', 'tatap', 'muka', 'juli', 'indonesia', 'vaksinasicovid', 'tim', 'fadli', 'zon', 'tim', 'nadiem', 'cm']"
83,Ribuan Tenaga Pendidik di Magetan Terima Vaksin Covid-19 #BeriaMagetan #VaksinasiNasional #VaksinCovid19 #TenagaPendidik,1,ribuan tenaga pendidik di magetan terima vaksin covid-19 #beriamagetan #vaksinasinasional #vaksincovid19 #tenagapendidik,ribuan tenaga pendidik di magetan terima vaksin covid beriamagetan vaksinasinasional vaksincovid tenagapendidik,"['ribuan', 'tenaga', 'pendidik', 'di', 'magetan', 'terima', 'vaksin', 'covid', 'beriamagetan', 'vaksinasinasional', 'vaksincovid', 'tenagapendidik']",<FreqDist with 12 samples and 12 outcomes>,"['ribuan', 'tenaga', 'pendidik', 'magetan', 'terima', 'vaksin', 'covid', 'beriamagetan', 'vaksinasinasional', 'vaksincovid', 'tenagapendidik']","['ribuan', 'tenaga', 'pendidik', 'magetan', 'terima', 'vaksin', 'covid', 'beriamagetan', 'vaksinasinasional', 'vaksincovid', 'tenagapendidik']","['ribu', 'tenaga', 'didik', 'magetan', 'terima', 'vaksin', 'covid', 'beriamagetan', 'vaksinasinasional', 'vaksincovid', 'tenagapendidik']"
84,Pandemi virus Corona dibawa oleh manusia Oleh karena itu pergerakan manusia dalam jumlah besar seperti mudik berpotensi menambah penyebaran virus Ayo lawan covid-19 protokol kesehatan #vaksinasinasional,1,pandemi virus corona dibawa oleh manusia oleh karena itu pergerakan manusia dalam jumlah besar seperti mudik berpotensi menambah penyebaran virus ayo lawan covid-19 protokol kesehatan #vaksinasinasional,pandemi virus corona dibawa oleh manusia oleh karena itu pergerakan manusia dalam jumlah besar seperti mudik berpotensi menambah penyebaran virus ayo lawan covid protokol kesehatan vaksinasinasional,"['pandemi', 'virus', 'corona', 'dibawa', 'oleh', 'manusia', 'oleh', 'karena', 'itu', 'pergerakan', 'manusia', 'dalam', 'jumlah', 'besar', 'seperti', 'mudik', 'berpotensi', 'menambah', 'penyebaran', 'virus', 'ayo', 'lawan', 'covid', 'protokol', 'kesehatan', 'vaksinasinasional']",<FreqDist with 23 samples and 26 outcomes>,"['pandemi', 'virus', 'corona', 'dibawa', 'manusia', 'pergerakan', 'manusia', 'mudik', 'berpotensi', 'menambah', 'penyebaran', 'virus', 'ayo', 'lawan', 'covid', 'protokol', 'kesehatan', 'vaksinasinasional']","['pandemi', 'virus', 'corona', 'dibawa', 'manusia', 'pergerakan', 'manusia', 'mudik', 'berpotensi', 'menambah', 'penyebaran', 'virus', 'ayo', 'lawan', 'covid', 'protokol', 'kesehatan', 'vaksinasinasional']","['pandemi', 'virus', 'corona', 'bawa', 'manusia', 'gera', 'manusia', 'mudik', 'potensi', 'tambah', 'sebar', 'virus', 'ayo', 'lawan', 'covid', 'protokol', 'sehat', 'vaksinasinasional']"
85,#Ritam98 🇮🇩 Tentang #Vaksinasi #Vaksin #Covid19 #VaksinasiNasional di #Indonesia  RT @kostumkomik:,1,#ritam98 🇮🇩 tentang #vaksinasi #vaksin #covid19 #vaksinasinasional di #indonesia  rt @kostumkomik:,ritam  tentang vaksinasi vaksin covid vaksinasinasional di indonesia rt ,"['ritam', 'tentang', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'di', 'indonesia', 'rt']",<FreqDist with 9 samples and 9 outcomes>,"['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia']","['ritam', 'vaksinasi', 'vaksin', 'covid', 'vaksinasinasional', 'indonesia']"
